,transit
1144,5227
1145,5726
1146,5514
1147,4605
1148,6714
1149,6697
1150,6402
1151,5436
1152,0
1153,7835
1154,0
1155,4835
1156,1927
1157,1778
1158,2034
1159,1890
1160,1852
1161,670
1162,3109
1163,2349
1164,3226
1165,4065
1166,4912
1167,3866
1168,3275
1169,4220
1170,1386
1171,3944
1172,2780
1173,5144
1174,4772
1175,5340
1176,5142
1177,4013
1178,4177
1179,5177
1180,4016
1181,3932
1182,3024
1183,2843
1184,2691
1185,2649
1186,1827
1187,5764
1188,5315
1189,4028
1190,6370
1191,5809
1192,0
1193,7092
1194,6995
1195,4138
1196,6139
1197,6378
1198,6424
1199,4212
1200,5487
1201,0
1202,5639
1203,2983
1204,4290
1205,2539
1206,3152
1207,5886
1208,4740
1209,4526
1210,1567
1211,1760
1212,4447
1213,3040
1214,5254
1215,3722
1216,3529
1217,3870
1218,3613
1219,3699
1220,3400
1221,5110
1222,5607
1223,5395
1224,5418
1225,1934
1226,2862
1227,2598
1228,2675
1229,6333
1230,5435
1231,7238
1232,6607
1233,3922
1234,3031
1235,3995
1236,2274
1237,2639
1238,4730
1239,5371
1240,2702
1241,2592
1242,4060
1243,2512
1244,7669
1245,5941
1246,2577
1247,2886
1248,6145
1249,6086
1250,7193
1251,7138
1252,5664
1253,6463
1254,5240
1255,1115
1256,3786
1257,2530
1258,5103
1259,3319
1260,3286
1261,2877
1262,4656
1263,4193
1264,4463
1265,3284
1266,3450
1267,4854
1268,4383
1269,4931
1270,5349
1271,2498
1272,5575
1273,4324
1274,6041
1275,4336
1276,5197
1277,0
1278,5377
1279,0
1280,0
1281,2149
1282,4143
1283,3250
1284,5464
1285,1270
1286,606
1287,1438
1288,1184
1289,926
1290,2964
1291,4162
1292,2650
1293,4234
1294,4326
1295,4681
1296,4246
1297,3398
1298,5086
1299,5335
1300,4691
1301,5309
1302,5239
1303,4298
1304,5812
1305,0
1306,1914
1307,2797
1308,4513
1309,2363
1310,5534
1311,6296
1312,3569
1313,3050
1314,5010
1315,4031
1316,5062
1317,5315
1318,2467
1319,2895
1320,5025
1321,516
1322,3079
1323,2098
1324,2753
1325,5183
1326,4571
1327,2235
1328,5037
1329,5302
1330,5860
1331,4663
1332,6478
1333,2839
1334,2943
1335,4612
1336,5577
1337,4202
1338,3861
1339,2653
1340,2202
1341,7479
1342,5075
1343,4426
1344,1481
1345,4308
1346,1885
1347,6884
1348,6726
1349,4298
1350,4193
1351,4407
1352,1620
1353,1593
